TeamName,Season,GP,WINS,LOSSES,WinPCT,FG3A_per_game,FG3M_per_game,FG3_PCT,FG3A_total,FG3M_total
Atlanta Hawks,2000,82,28,54,0.341,814,258,0.317,66748,21156
Atlanta Hawks,2001,82,25,57,0.305,933,333,0.357,76506,27306
Atlanta Hawks,2002,82,33,49,0.402,1194,423,0.354,97908,34686
Atlanta Hawks,2003,82,35,47,0.427,1141,402,0.352,93562,32964
Atlanta Hawks,2004,82,28,54,0.341,1249,419,0.335,102418,34358
Atlanta Hawks,2005,82,13,69,0.159,973,304,0.312,79786,24928
Atlanta Hawks,2006,82,26,56,0.317,1154,424,0.367,94628,34768
Atlanta Hawks,2007,82,30,52,0.366,1038,341,0.329,85116,27962
Atlanta Hawks,2008,82,37,45,0.451,1078,384,0.356,88396,31488
Atlanta Hawks,2009,82,47,35,0.573,1633,597,0.366,133906,48954
Atlanta Hawks,2010,82,53,29,0.646,1455,524,0.36,119310,42968
Atlanta Hawks,2011,82,44,38,0.537,1427,502,0.352,117014,41164
Atlanta Hawks,2012,66,40,26,0.606,1330,492,0.37,87780,32472
Atlanta Hawks,2013,82,44,38,0.537,1901,706,0.371,155882,57892
Atlanta Hawks,2014,82,38,44,0.463,2116,768,0.363,173512,62976
Atlanta Hawks,2015,82,60,22,0.732,2152,818,0.38,176464,67076
Atlanta Hawks,2016,82,48,34,0.585,2326,815,0.35,190732,66830
Atlanta Hawks,2017,82,43,39,0.524,2137,729,0.341,175234,59778
Atlanta Hawks,2018,82,24,58,0.293,2544,917,0.36,208608,75194
Atlanta Hawks,2019,82,29,53,0.354,3034,1067,0.352,248788,87494
Atlanta Hawks,2020,67,20,47,0.299,2416,805,0.333,161872,53935
Atlanta Hawks,2021,72,41,31,0.569,2402,895,0.373,172944,64440
Atlanta Hawks,2022,82,43,39,0.524,2821,1056,0.374,231322,86592
Atlanta Hawks,2023,82,41,41,0.5,2505,882,0.352,205410,72324
Atlanta Hawks,2024,82,36,46,0.439,3092,1125,0.364,253544,92250
Boston Celtics,2000,82,35,47,0.427,1260,417,0.331,103320,34194
Boston Celtics,2001,82,36,46,0.439,1633,592,0.363,133906,48544
Boston Celtics,2002,82,49,33,0.598,1946,699,0.359,159572,57318
Boston Celtics,2003,82,44,38,0.537,2155,719,0.334,176710,58958
Boston Celtics,2004,82,36,46,0.439,1599,553,0.346,131118,45346
Boston Celtics,2005,82,45,37,0.549,1252,437,0.349,102664,35834
Boston Celtics,2006,82,33,49,0.402,1290,467,0.362,105780,38294
Boston Celtics,2007,82,24,58,0.293,1283,471,0.367,105206,38622
Boston Celtics,2008,82,66,16,0.805,1564,596,0.381,128248,48872
Boston Celtics,2009,82,62,20,0.756,1355,538,0.397,111110,44116
Boston Celtics,2010,82,50,32,0.61,1433,499,0.348,117506,40918
Boston Celtics,2011,82,56,26,0.683,1119,408,0.365,91758,33456
Boston Celtics,2012,66,39,27,0.591,988,363,0.367,65208,23958
Boston Celtics,2013,81,41,40,0.506,1390,498,0.358,112590,40338
Boston Celtics,2014,82,25,57,0.305,1729,575,0.333,141778,47150
Boston Celtics,2015,82,40,42,0.488,2021,660,0.327,165722,54120
Boston Celtics,2016,82,48,34,0.585,2142,717,0.335,175644,58794
Boston Celtics,2017,82,53,29,0.646,2741,985,0.359,224762,80770
Boston Celtics,2018,82,55,27,0.671,2492,939,0.377,204344,76998
Boston Celtics,2019,82,49,33,0.598,2829,1032,0.365,231978,84624
Boston Celtics,2020,72,48,24,0.667,2487,905,0.364,179064,65160
Boston Celtics,2021,72,36,36,0.5,2618,979,0.374,188496,70488
Boston Celtics,2022,82,51,31,0.622,3044,1085,0.356,249608,88970
Boston Celtics,2023,82,57,25,0.695,3492,1315,0.377,286344,107830
Boston Celtics,2024,82,64,18,0.78,3482,1351,0.388,285524,110782
Cleveland Cavaliers,2000,82,32,50,0.39,919,343,0.373,75358,28126
Cleveland Cavaliers,2001,82,30,52,0.366,659,220,0.334,54038,18040
Cleveland Cavaliers,2002,82,29,53,0.354,1026,387,0.377,84132,31734
Cleveland Cavaliers,2003,82,17,65,0.207,896,293,0.327,73472,24026
Cleveland Cavaliers,2004,82,35,47,0.427,786,247,0.314,64452,20254
Cleveland Cavaliers,2005,82,42,40,0.512,904,300,0.332,74128,24600
Cleveland Cavaliers,2006,82,50,32,0.61,1465,497,0.339,120130,40754
Cleveland Cavaliers,2007,82,50,32,0.61,1404,494,0.352,115128,40508
Cleveland Cavaliers,2008,82,45,37,0.549,1544,552,0.358,126608,45264
Cleveland Cavaliers,2009,82,66,16,0.805,1670,656,0.393,136940,53792
Cleveland Cavaliers,2010,82,61,21,0.744,1582,602,0.381,129724,49364
Cleveland Cavaliers,2011,82,19,63,0.232,1489,509,0.342,122098,41738
Cleveland Cavaliers,2012,66,21,45,0.318,1273,440,0.346,84018,29040
Cleveland Cavaliers,2013,82,24,58,0.293,1581,547,0.346,129642,44854
Cleveland Cavaliers,2014,82,33,49,0.402,1640,584,0.356,134480,47888
Cleveland Cavaliers,2015,82,53,29,0.646,2253,826,0.367,184746,67732
Cleveland Cavaliers,2016,82,57,25,0.695,2428,880,0.362,199096,72160
Cleveland Cavaliers,2017,82,51,31,0.622,2779,1067,0.384,227878,87494
Cleveland Cavaliers,2018,82,50,32,0.61,2636,981,0.372,216152,80442
Cleveland Cavaliers,2019,82,19,63,0.232,2388,847,0.355,195816,69454
Cleveland Cavaliers,2020,65,19,46,0.292,2070,727,0.351,134550,47255
Cleveland Cavaliers,2021,72,22,50,0.306,2141,720,0.336,154152,51840
Cleveland Cavaliers,2022,82,44,38,0.537,2686,953,0.355,220252,78146
Cleveland Cavaliers,2023,82,51,31,0.622,2589,950,0.367,212298,77900
Cleveland Cavaliers,2024,82,48,34,0.585,3016,1108,0.367,247312,90856
New Orleans Pelicans,2003,82,47,35,0.573,1075,404,0.376,88150,33128
New Orleans Pelicans,2004,82,41,41,0.5,1666,531,0.319,136612,43542
New Orleans Pelicans,2005,82,18,64,0.22,1316,415,0.315,107912,34030
New Orleans Pelicans,2006,82,38,44,0.463,885,300,0.339,72570,24600
New Orleans Pelicans,2007,82,39,43,0.476,1256,455,0.362,102992,37310
New Orleans Pelicans,2008,82,56,26,0.683,1621,630,0.389,132922,51660
New Orleans Pelicans,2009,82,49,33,0.598,1526,556,0.364,125132,45592
New Orleans Pelicans,2010,82,37,45,0.451,1572,571,0.363,128904,46822
New Orleans Pelicans,2011,82,46,36,0.561,1232,444,0.36,101024,36408
New Orleans Pelicans,2012,66,21,45,0.318,777,259,0.333,51282,17094
New Orleans Pelicans,2013,82,27,55,0.329,1474,535,0.363,120868,43870
New Orleans Pelicans,2014,82,34,48,0.415,1303,486,0.373,106846,39852
New Orleans Pelicans,2015,82,45,37,0.549,1583,586,0.37,129806,48052
New Orleans Pelicans,2016,82,30,52,0.366,1951,702,0.36,159982,57564
New Orleans Pelicans,2017,82,34,48,0.415,2196,768,0.35,180072,62976
New Orleans Pelicans,2018,82,48,34,0.585,2312,837,0.362,189584,68634
New Orleans Pelicans,2019,82,33,49,0.402,2449,842,0.344,200818,69044
New Orleans Pelicans,2020,72,30,42,0.417,2656,982,0.37,191232,70704
New Orleans Pelicans,2021,72,31,41,0.431,2190,762,0.348,157680,54864
New Orleans Pelicans,2022,82,36,46,0.439,2629,873,0.332,215578,71586
New Orleans Pelicans,2023,82,42,40,0.512,2468,899,0.364,202376,73718
New Orleans Pelicans,2024,82,49,33,0.598,2673,1023,0.383,219186,83886
Chicago Bulls,2000,82,17,65,0.207,1032,340,0.329,84624,27880
Chicago Bulls,2001,82,15,67,0.183,950,329,0.346,77900,26978
Chicago Bulls,2002,82,21,61,0.256,868,300,0.346,71176,24600
Chicago Bulls,2003,82,30,52,0.366,997,349,0.35,81754,28618
Chicago Bulls,2004,82,23,59,0.28,1256,429,0.342,102992,35178
Chicago Bulls,2005,82,47,35,0.573,1433,511,0.357,117506,41902
Chicago Bulls,2006,82,41,41,0.5,1477,560,0.379,121114,45920
